from,to,from_id,to_id,outflow 17-24,outflow 24-may1,above normal_0,outflow 17-24,outflow 24-may1,above normal_5,outflow 17-24,outflow 24-may1,above normal_10,outflow 17-24,outflow 24-may1,above normal_15,outflow 17-24,outflow 24-may1,above normal_20
Baitadi,Bajhang,3,4,4,11,7,4,11,7,4,11,7,4,11,7,4,11,7
Baitadi,Bajura,3,5,3,2,-1,3,2,-1,3,2,-1,3,2,-1,3,2,-1
Baitadi,Banke,3,6,26,54,28,26,54,28,26,54,28,26,54,28,26,54,28
Baitadi,Bara,3,7,5,14,9,5,14,9,5,14,9,5,14,9,5,14,9
Baitadi,Bardiya,3,8,37,51,14,37,51,14,37,51,14,37,51,14,37,51,14
Baitadi,Bhaktapur,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baitadi,Bhojpur,3,10,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
Baitadi,Chitawan,3,11,13,25,12,13,25,12,13,25,12,13,25,12,13,25,12
Baitadi,Dadeldhura,3,12,483,828,345,483,828,345,483,828,345,475,809,334,473,808,335
Baitadi,Dailekh,3,13,8,14,6,8,14,6,8,14,6,8,14,6,8,14,6
Baitadi,Dang,3,14,15,26,11,15,26,11,15,26,11,15,26,11,15,26,11
Baitadi,Darchula,3,15,235,334,99,235,334,99,177,272,95,146,235,89,109,165,56
Baitadi,Dhading,3,16,3,20,17,3,20,17,3,20,17,3,20,17,3,20,17
Baitadi,Dhankuta,3,17,3,7,4,3,7,4,3,7,4,3,7,4,3,7,4
Baitadi,Dhanusha,3,18,6,9,3,6,9,3,6,9,3,6,9,3,6,9,3
Baitadi,Dolakha,3,19,3,0,-3,3,0,-3,3,0,-3,3,0,-3,3,0,-3
Baitadi,Dolpa,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baitadi,Doti,3,21,83,130,47,83,130,47,83,130,47,83,130,47,83,130,47
Baitadi,Gorkha,3,22,8,15,7,8,15,7,8,15,7,8,15,7,8,15,7
Baitadi,Gulmi,3,23,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5
Baitadi,Humla,3,24,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
Baitadi,Ilam,3,25,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0
Baitadi,Jajarkot,3,26,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
Baitadi,Jhapa,3,27,4,11,7,4,11,7,4,11,7,4,11,7,4,11,7
